,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
0,Engineering and engineering trades,Music and Instrument Technology,AL605,211,,,,211,,319,6,Athlone Institute of Technology,,,
1,Health,Pharmacy Technician,AL630,308,,,,308,,409,6,Athlone Institute of Technology,,,
2,Health,Dental Nursing,AL631,311,,,,311,,400,6,Athlone Institute of Technology,,,
3,Biological and related sciences,Applied Science,AL632,297,,,,297,,454,6,Athlone Institute of Technology,,,
4,Business and administration,Business,AL650,AQA,,AQA,,AQA,,351,6,Athlone Institute of Technology,,avp,
5,Personal services,Culinary Arts,AL660,AQA,,AQA,,AQA,,271,6,Athlone Institute of Technology,,avp,
6,Personal services,Bar Supervision,AL661,AQA,,,,153,,279,6,Athlone Institute of Technology,,avp,
7,Personal services,Business (Sport and Recreation),AL663,AQA,,AQA,,AQA,,311,6,Athlone Institute of Technology,,avp,
8,Information and Communication Technologies (ICTs),Computer Engineering for Network Infrastructure,AL701,207,,,,207,,382,7,Athlone Institute of Technology,,,
9,Information and Communication Technologies (ICTs),Software Design in Artificial Intelligence for Cloud Computing,AL702,220,,,,220,,381,7,Athlone Institute of Technology,,,
10,Information and Communication Technologies (ICTs),Software Design for Virtual Reality and Gaming,AL703,211,,,,211,,349,7,Athlone Institute of Technology,,,
11,Information and Communication Technologies (ICTs),Computer Engineering,AL704,210,,,,210,,368,7,Athlone Institute of Technology,,,
12,Information and Communication Technologies (ICTs),Software Design for Mobile Apps and Connected Devices,AL705,250,,,,250,,323,7,Athlone Institute of Technology,,,
13,Engineering and engineering trades,Mechanical Engineering,AL710,243,,,,243,,340,7,Athlone Institute of Technology,,,
14,Engineering and engineering trades,Mechanical Engineering and Renewable Energy,AL711,238,,,,238,,389,7,Athlone Institute of Technology,,,
15,Engineering and engineering trades,Automation and Robotics,AL712,247,,,,247,,434,7,Athlone Institute of Technology,,,
16,Engineering and engineering trades,Engineering (Common Entry to Automation and Robotics/Renewable/Mech Eng),AL713,226,,,,226,,387,7,Athlone Institute of Technology,,,
17,Engineering and engineering trades,Music and Sound Engineering,AL718,242,,,,242,,363,7,Athlone Institute of Technology,,,
